Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Season_Spring,Season_Summer,Season_Winter,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy
24.0,75,17.5,84.0,999.76,3,5.0,False,True,False,False,True,False
46.0,69,3.5,43.0,842.22,12,5.5,True,False,False,True,False,False
24.0,87,18.0,65.0,1011.48,1,1.5,True,False,False,False,False,True
1.0,102,35.0,90.0,988.38,5,4.0,False,False,True,False,True,False
42.0,87,17.5,100.0,1016.17,8,8.0,False,True,False,False,False,True
-3.0,95,0.5,85.0,988.56,1,1.5,False,False,True,False,True,False
26.0,76,2.0,27.0,1017.78,3,5.5,False,False,False,False,False,True
21.0,64,20.0,67.0,1019.44,1,2.5,False,False,False,False,False,True
0.0,88,3.0,52.0,981.64,1,1.0,False,False,True,False,True,False
28.0,63,7.0,12.0,1011.03,3,8.0,True,False,False,False,True,False
-4.0,92,6.0,63.0,988.58,0,4.5,False,False,True,False,True,False
23.0,65,3.0,40.0,1007.2,4,7.5,True,False,False,False,True,False
24.0,39,5.0,6.0,1026.01,11,9.5,True,False,False,False,False,False
33.0,33,5.0,15.0,1016.71,6,8.0,False,False,True,False,False,True
4.0,99,9.0,77.0,981.23,0,4.0,False,False,True,False,False,True
20.0,92,11.5,53.0,1005.88,1,1.5,False,False,True,False,True,False
4.0,67,0.5,80.0,988.05,1,3.0,False,False,True,False,True,False
-10.0,31,10.5,84.0,853.94,6,7.0,True,False,False,False,False,True
3.0,60,18.0,61.0,990.68,1,2.5,False,False,True,False,False,True
28.0,64,6.5,2.0,1023.48,10,9.5,False,False,False,False,False,True
32.0,82,13.5,71.0,999.87,0,3.5,False,True,False,False,False,True
30.0,61,9.5,6.0,1025.53,8,8.5,False,False,False,False,False,False
-4.0,34,11.0,42.0,1150.77,8,15.0,False,True,False,False,True,False
30.0,99,17.0,77.0,1013.33,0,2.0,False,True,False,False,True,False
27.0,60,8.0,22.0,1002.22,2,6.0,False,True,False,False,True,False
-7.0,92,7.0,85.0,984.28,1,1.5,False,False,True,False,True,False
44.0,90,2.5,82.0,1012.0,12,8.5,False,False,True,False,False,True
-8.0,70,1.0,68.0,984.8,0,4.5,False,False,True,False,True,False
20.0,62,3.0,18.0,1012.83,10,5.0,True,False,False,False,False,False
30.0,76,3.0,19.0,1019.94,4,5.0,False,True,False,False,True,False
32.0,66,2.0,20.0,1002.14,1,5.0,True,False,False,False,True,False
11.0,90,25.5,76.0,996.17,0,1.0,False,False,True,False,False,True
21.0,68,10.5,97.0,1016.13,0,3.0,False,False,False,False,True,False
44.0,58,2.5,4.0,1029.16,11,5.5,False,True,False,False,False,True
14.0,80,18.0,75.0,1016.31,0,1.5,False,False,True,False,True,False
3.0,93,5.0,81.0,983.51,1,2.5,False,False,True,False,True,False
17.0,74,0.5,38.0,1012.1,4,7.0,True,False,False,False,True,False
15.0,79,20.0,88.0,1002.33,3,1.5,False,False,True,False,True,False
21.0,67,17.5,77.0,1005.65,3,3.5,False,False,False,False,False,True
27.0,97,14.5,90.0,1004.81,0,3.5,False,False,True,False,False,True
-9.0,97,6.0,52.0,981.23,0,3.5,False,False,True,False,True,False
-24.0,106,31.5,71.0,987.01,6,1.0,False,False,True,False,True,False
32.0,65,5.0,60.0,1184.26,8,0.5,True,False,False,False,True,False
23.0,84,13.0,77.0,996.74,0,3.0,False,False,True,False,True,False
-11.0,73,9.0,35.0,1135.81,12,2.0,True,False,False,False,True,False
27.0,66,10.5,40.0,1018.09,4,6.5,False,True,False,False,False,True
-8.0,69,12.5,65.0,980.41,1,1.0,False,False,True,False,True,False
24.0,68,9.0,0.0,1017.94,9,7.0,False,False,True,False,False,False
-11.0,89,16.5,94.0,986.05,0,1.5,False,False,True,False,True,False
23.0,75,4.5,46.0,1016.07,1,8.5,False,False,True,False,False,True
3.0,91,13.5,58.0,981.69,0,4.5,False,False,True,False,False,True
34.0,20,6.5,15.0,1027.48,7,9.5,False,False,False,False,False,True
12.0,68,11.5,99.0,929.14,11,2.0,True,False,False,True,False,False
33.0,62,6.5,88.0,1002.53,3,4.5,True,False,False,False,False,True
15.0,76,9.0,15.0,1013.25,4,7.0,False,False,False,False,False,True
16.0,85,17.5,66.0,990.29,3,3.5,False,True,False,False,False,True
11.0,77,9.0,19.0,1013.48,4,5.0,False,False,False,False,True,False
12.0,54,10.5,47.0,1007.02,3,7.0,True,False,False,False,False,True
38.0,30,9.0,1.0,1013.57,5,5.5,False,True,False,False,False,False
31.0,87,13.0,72.0,1009.9,1,2.0,False,False,False,False,True,False
4.0,80,10.5,50.0,982.13,1,2.0,False,False,True,False,True,False
2.0,82,3.0,59.0,986.34,0,4.5,False,False,True,False,True,False
32.0,36,9.5,1.0,1011.74,5,5.0,False,False,True,False,False,False
-14.0,96,27.0,79.0,981.15,2,1.0,False,False,True,False,False,True
-1.0,80,3.0,74.0,992.38,1,2.0,False,False,True,False,True,False
2.0,77,4.5,75.0,986.27,0,3.5,False,False,True,False,False,True
34.0,67,18.0,88.0,1018.97,1,3.5,False,True,False,False,True,False
13.0,72,14.0,18.0,1012.23,4,6.5,True,False,False,False,False,True
28.0,49,4.5,12.0,1010.13,11,8.0,True,False,False,False,False,False
7.0,96,16.5,80.0,993.01,0,1.0,True,False,False,False,True,False
22.0,35,2.0,16.0,1023.06,7,10.0,True,False,False,False,False,False
-10.0,90,8.0,62.0,993.68,1,2.0,False,False,True,False,True,False
29.0,96,13.0,95.0,1019.88,3,5.0,True,False,False,False,True,False
36.0,50,6.0,0.0,1010.34,8,6.5,False,False,False,False,False,False
12.0,66,2.0,99.0,1071.19,4,19.0,False,False,True,False,False,True
34.0,91,7.5,78.0,1011.53,0,4.0,False,False,False,False,True,False
31.0,73,12.0,80.0,1010.07,0,2.5,True,False,False,False,True,False
14.0,88,11.5,74.0,994.87,2,5.0,True,False,False,False,True,False
36.0,76,3.5,85.0,1007.65,6,1.5,True,False,False,False,True,False
37.0,77,17.0,98.0,1017.04,4,0.0,False,False,False,False,True,False
52.0,76,21.0,89.0,1019.17,14,9.0,True,False,False,False,True,False
23.0,73,0.5,44.0,1005.87,2,7.0,False,True,False,False,True,False
16.0,59,11.5,37.0,1004.12,4,6.5,False,True,False,False,False,True
33.0,74,7.0,55.0,1016.64,3,2.5,False,True,False,False,False,True
32.0,75,7.5,99.0,1003.49,1,1.5,False,False,True,False,False,True
18.0,70,6.0,67.0,990.87,3,3.5,True,False,False,False,True,False
1.0,99,7.5,77.0,985.59,1,4.5,False,False,True,False,False,True
-2.0,58,3.0,14.0,868.22,12,15.5,False,False,True,False,True,False
34.0,77,6.5,65.0,1019.88,2,1.5,False,True,False,False,False,True
13.0,80,16.5,93.0,1003.4,14,1.5,False,True,False,False,True,False
28.0,28,9.0,14.0,1016.96,5,10.0,False,False,True,False,False,False
5.0,74,27.0,71.0,984.53,0,3.0,False,False,True,False,True,False
59.0,95,10.5,74.0,1016.59,6,3.5,False,True,False,False,True,False
27.0,69,14.0,13.0,1000.76,2,8.0,True,False,False,False,False,True
